"Source:","C:\Users\Anonymous\Documents\Junon Keyboard\junon-kb.kicad_sch"
"Date:","17-Jan-24 20:41:31"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","30"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow ID","Arrow Part Number","Arrow Price/Stock","Description","DigiKey ID","Height","Manufacturer_Name","Manufacturer_Part_Number","Mfr. Name","Mfr. Number","Mouser ID","Mouser Part Number","Mouser Price/Stock","Mouser URL","NOTES:"
"","","C1","0.1uF","Junon's KB:MSAST1L3YB5104KFNA01","CAPC1005X33N","https://www.mouser.de/datasheet/2/396/TaiyoYuden_MSAST1L3YB5104KFNA01_SS-3009733.pdf","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 25VDC 0.1uF 10% X5R","","0.33","TAIYO YUDEN","MSAST1L3YB5104KFNA01","","","","963-MSAST1L3YB5104KF","https://www.mouser.de/ProductDetail/TAIYO-YUDEN/MSAST1L3YB5104KFNA01?qs=tlsG%2FOw5FFhBwK%252BMwEZpCA%3D%3D","",""
"","","C2","0.1uF","Junon's KB:MSAST1L3YB5104KFNA01","CAPC1005X33N","https://www.mouser.de/datasheet/2/396/TaiyoYuden_MSAST1L3YB5104KFNA01_SS-3009733.pdf","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 25VDC 0.1uF 10% X5R","","0.33","TAIYO YUDEN","MSAST1L3YB5104KFNA01","","","","963-MSAST1L3YB5104KF","https://www.mouser.de/ProductDetail/TAIYO-YUDEN/MSAST1L3YB5104KFNA01?qs=tlsG%2FOw5FFhBwK%252BMwEZpCA%3D%3D","",""
"","","C3","0.1uF","Junon's KB:MSAST1L3YB5104KFNA01","CAPC1005X33N","https://www.mouser.de/datasheet/2/396/TaiyoYuden_MSAST1L3YB5104KFNA01_SS-3009733.pdf","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 25VDC 0.1uF 10% X5R","","0.33","TAIYO YUDEN","MSAST1L3YB5104KFNA01","","","","963-MSAST1L3YB5104KF","https://www.mouser.de/ProductDetail/TAIYO-YUDEN/MSAST1L3YB5104KFNA01?qs=tlsG%2FOw5FFhBwK%252BMwEZpCA%3D%3D","",""
"","","C4","0.1uF","Junon's KB:MSAST1L3YB5104KFNA01","CAPC1005X33N","https://www.mouser.de/datasheet/2/396/TaiyoYuden_MSAST1L3YB5104KFNA01_SS-3009733.pdf","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 25VDC 0.1uF 10% X5R","","0.33","TAIYO YUDEN","MSAST1L3YB5104KFNA01","","","","963-MSAST1L3YB5104KF","https://www.mouser.de/ProductDetail/TAIYO-YUDEN/MSAST1L3YB5104KFNA01?qs=tlsG%2FOw5FFhBwK%252BMwEZpCA%3D%3D","",""
"","","C5","4.7uF","Junon's KB:CL21A475KOFNNNE","junon-kb:CAP_CL21_SAM","null","CL21A475KOFNNNE","","","Multilayer Ceramic Capacitor, 4.7 uF, 16 V, ± 10%, X5R, 0805 [2012 Metric]","1276-1065-1-ND","","","","Samsung","CL21A475KOFNNNE","187-CL21A475KOFNNNE","","","null",""
"","","C6","0.1uF","Junon's KB:MSAST1L3YB5104KFNA01","CAPC1005X33N","https://www.mouser.de/datasheet/2/396/TaiyoYuden_MSAST1L3YB5104KFNA01_SS-3009733.pdf","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 25VDC 0.1uF 10% X5R","","0.33","TAIYO YUDEN","MSAST1L3YB5104KFNA01","","","","963-MSAST1L3YB5104KF","https://www.mouser.de/ProductDetail/TAIYO-YUDEN/MSAST1L3YB5104KFNA01?qs=tlsG%2FOw5FFhBwK%252BMwEZpCA%3D%3D","",""
"","","C7","0.01uF","Junon's KB:CL21B103KBANNNC","junon-kb:CAP_CL21_SAM","null","CL21B103KBANNNC","","","Multilayer Ceramic Capacitor, 0.01 uF, 50 V, ± 10%, X7R, 0805 [2012 Metric]","1276-1015-1-ND","","","","Samsung","CL21B103KBANNNC","187-CL21B103KBANNNC","","","null",""
"","","C8","1uF","Junon's KB:0603YD105KAT2A","junon-kb:CAP_0603G_AVX","https://www.mouser.de/datasheet/2/40/cx5r_KGM-3223198.pdf","0603YD105KAT2A","","","CAP; SMT (0603); 1UF; 10%; 16V; X5R; CERAMIC; ","null","","","","KYOCERA AVX","0603YD105KAT2A","581-0603YD105K","","","https://www.mouser.de/ProductDetail/KYOCERA-AVX/0603YD105KAT2A?qs=Gc704lYbI0yxwip%252B5td8dA%3D%3D",""
"","","C10","4.7uF","Junon's KB:CL21A475KOFNNNE","junon-kb:CAP_CL21_SAM","null","CL21A475KOFNNNE","","","Multilayer Ceramic Capacitor, 4.7 uF, 16 V, ± 10%, X5R, 0805 [2012 Metric]","1276-1065-1-ND","","","","Samsung","CL21A475KOFNNNE","187-CL21A475KOFNNNE","","","null",""
"","","C11","0.1uF","Junon's KB:MSAST1L3YB5104KFNA01","CAPC1005X33N","https://www.mouser.de/datasheet/2/396/TaiyoYuden_MSAST1L3YB5104KFNA01_SS-3009733.pdf","","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 25VDC 0.1uF 10% X5R","","0.33","TAIYO YUDEN","MSAST1L3YB5104KFNA01","","","","963-MSAST1L3YB5104KF","https://www.mouser.de/ProductDetail/TAIYO-YUDEN/MSAST1L3YB5104KFNA01?qs=tlsG%2FOw5FFhBwK%252BMwEZpCA%3D%3D","",""
